BOOK_ID,IMAGE_ID,BOOK_PATH
BK052,11,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_10-390x510.jpg
BK052,12,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_giggling_tree_hatchimals/2020_06_20_11_47_49_11-390x510.jpg
BK053,1,https://cdn0.fahasa.com/media/catalog/product/i/m/image_221647.jpg
BK053,2,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_2_forest_of_shadows/2022_09_27_16_48_31_1-390x510.jpg
BK053,3,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_2_forest_of_shadows/2022_09_27_16_48_31_2-390x510.jpg
BK053,4,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_2_forest_of_shadows/2022_09_27_16_48_31_3-390x510.jpg
BK053,5,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_2_forest_of_shadows/2022_09_27_16_48_31_4-390x510.jpg
BK053,6,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_2_forest_of_shadows/2022_09_27_16_48_31_5-390x510.jpg
BK053,7,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_2_forest_of_shadows/2022_09_27_16_48_31_6-390x510.jpg
BK054,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9781839030680.jpg
BK054,2,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_let_it_go_twisted_tales/2023_03_13_09_49_58_1-390x510.jpg
BK054,3,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_let_it_go_twisted_tales/2023_03_13_09_49_58_2-390x510.jpg
BK054,4,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_let_it_go_twisted_tales/2023_03_13_09_49_58_3-390x510.jpg
BK054,5,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_let_it_go_twisted_tales/2023_03_13_09_49_58_4-390x510.jpg
BK054,6,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_let_it_go_twisted_tales/2023_03_13_09_49_58_5-390x510.jpg
BK054,7,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/disney_frozen_let_it_go_twisted_tales/2023_03_13_09_49_58_6-390x510.jpg
BK055,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9780385386173_1.jpg
BK055,2,https://cdn0.fahasa.com/media/catalog/product/9/7/9780385386173-1.jpg
BK055,3,https://cdn0.fahasa.com/media/catalog/product/9/7/9780385386173-2.jpg
BK055,4,https://cdn0.fahasa.com/media/catalog/product/9/7/9780385386173-4.jpg
BK055,5,https://cdn0.fahasa.com/media/catalog/product/9/7/9780385386173-3.jpg
BK055,6,https://cdn0.fahasa.com/media/catalog/product/9/7/9780385386173-5.jpg
BK056,1,https://cdn0.fahasa.com/media/catalog/product/9/7/9780241558348.jpg
BK056,2,https://cdn0.fahasa.com/media/flashmagazine/images/page_images/the_bfg/2023_09_27_16_14_05_1-390x510.jpg
